topic,pct,label
0,3.36729582999,Topic 0
3,2.3978952728,Topic 3
4,0.0,Topic 4
5,2.83321334406,Topic 5
7,0.0,Topic 7
14,8.05674377498,Topic 14
16,1.38629436112,Topic 16
17,10.1923439352,Topic 17
18,7.74240202182,Topic 18
